Entry,Entry name,Protein names,Length,Mass,Annotation,Date of creation,Protein existence
Q86W47,KCMB4_HUMAN,"Calcium-activated potassium channel subunit beta-4 (BK channel subunit beta-4) (BKbeta4) (Hbeta4) (Calcium-activated potassium channel, subfamily M subunit beta-4) (Charybdotoxin receptor subunit beta-4) (K(VCA)beta-4) (Maxi K channel subunit beta-4) (Slo-beta-4)",210,"23,949",5 out of 5,2004-04-13,Evidence at protein level
Q03721,KCNC4_HUMAN,Potassium voltage-gated channel subfamily C member 4 (KSHIIIC) (Voltage-gated potassium channel subunit Kv3.4),635,"69,767",5 out of 5,1998-07-15,Evidence at protein level
Q9UK17,KCND3_HUMAN,Potassium voltage-gated channel subfamily D member 3 (Voltage-gated potassium channel subunit Kv4.3),655,"73,451",5 out of 5,2003-11-07,Evidence at protein level
Q9Y6J6,KCNE2_HUMAN,Potassium voltage-gated channel subfamily E member 2 (MinK-related peptide 1) (Minimum potassium ion channel-related peptide 1) (Potassium channel subunit beta MiRP1),123,"14,472",5 out of 5,2000-05-30,Evidence at protein level
Q12809,KCNH2_HUMAN,Potassium voltage-gated channel subfamily H member 2 (Eag homolog) (Ether-a-go-go-related gene potassium channel 1) (ERG-1) (Eag-related protein 1) (Ether-a-go-go-related protein 1) (H-ERG) (hERG-1) (hERG1) (Voltage-gated potassium channel subunit Kv11.1),1159,"126,655",5 out of 5,2000-05-30,Evidence at protein level
Q9NS40,KCNH7_HUMAN,Potassium voltage-gated channel subfamily H member 7 (Ether-a-go-go-related gene potassium channel 3) (ERG-3) (Eag-related protein 3) (Ether-a-go-go-related protein 3) (hERG-3) (Voltage-gated potassium channel subunit Kv11.3),1196,"135,000",5 out of 5,2002-11-28,Evidence at transcript level
P48048,KCNJ1_HUMAN,"ATP-sensitive inward rectifier potassium channel 1 (ATP-regulated potassium channel ROM-K) (Inward rectifier K(+) channel Kir1.1) (Potassium channel, inwardly rectifying subfamily J member 1)",391,"44,795",5 out of 5,1996-02-01,Evidence at protein level
Q15842,KCNJ8_HUMAN,"ATP-sensitive inward rectifier potassium channel 8 (Inward rectifier K(+) channel Kir6.1) (Potassium channel, inwardly rectifying subfamily J member 8) (uKATP-1)",424,"47,968",5 out of 5,1997-11-01,Evidence at protein level
O95279,KCNK5_HUMAN,Potassium channel subfamily K member 5 (Acid-sensitive potassium channel protein TASK-2) (TWIK-related acid-sensitive K(+) channel 2),499,"55,130",5 out of 5,2001-02-21,Evidence at protein level
O43526,KCNQ2_HUMAN,Potassium voltage-gated channel subfamily KQT member 2 (KQT-like 2) (Neuroblastoma-specific potassium channel subunit alpha KvLQT2) (Voltage-gated potassium channel subunit Kv7.2),872,"95,848",5 out of 5,2001-06-01,Evidence at protein level
Q9NR82,KCNQ5_HUMAN,Potassium voltage-gated channel subfamily KQT member 5 (KQT-like 5) (Potassium channel subunit alpha KvLQT5) (Voltage-gated potassium channel subunit Kv7.5),932,"102,179",5 out of 5,2001-06-01,Evidence at protein level
Q9BQ31,KCNS3_HUMAN,Potassium voltage-gated channel subfamily S member 3 (Delayed-rectifier K(+) channel alpha subunit 3) (Voltage-gated potassium channel subunit Kv9.3),491,"56,001",5 out of 5,2002-10-25,Evidence at protein level
A8MYU2,KCNU1_HUMAN,"Potassium channel subfamily U member 1 (Calcium-activated potassium channel subunit alpha-3) (Calcium-activated potassium channel, subfamily M subunit alpha-3) (KCa5) (Slowpoke homolog 3)",1149,"129,543",5 out of 5,2008-09-02,Evidence at protein level
Q53RY4,KCP3_HUMAN,Keratinocyte-associated protein 3 (KCP-3),240,"25,627",2 out of 5,2006-03-07,Evidence at transcript level
Q8WVF5,KCTD4_HUMAN,BTB/POZ domain-containing protein KCTD4,259,"29,967",2 out of 5,2004-07-19,Evidence at protein level
P0DMQ5,INAM2_HUMAN,Putative transmembrane protein INAFM2 (InaF-motif-containing protein 2) (Osteogenesis up-regulated transcript 1),153,"15,439",2 out of 5,2014-11-26,Evidence at transcript level
P48551,INAR2_HUMAN,Interferon alpha/beta receptor 2 (IFN-R-2) (IFN-alpha binding protein) (IFN-alpha/beta receptor 2) (Interferon alpha binding protein) (Type I interferon receptor 2),515,"57,759",5 out of 5,1996-02-01,Evidence at protein level
Q9H095,IQCG_HUMAN,IQ domain-containing protein G,443,"51,918",5 out of 5,2007-04-03,Evidence at protein level
P10914,IRF1_HUMAN,Interferon regulatory factor 1 (IRF-1),325,"36,502",5 out of 5,1989-07-01,Evidence at protein level
Q13568,IRF5_HUMAN,Interferon regulatory factor 5 (IRF-5),498,"56,044",5 out of 5,1997-11-01,Evidence at protein level
Q92985,IRF7_HUMAN,Interferon regulatory factor 7 (IRF-7),503,"54,278",5 out of 5,1997-11-01,Evidence at protein level
O14654,IRS4_HUMAN,Insulin receptor substrate 4 (IRS-4) (160 kDa phosphotyrosine protein) (py160) (Phosphoprotein of 160 kDa) (pp160),1257,"133,768",5 out of 5,2008-01-15,Evidence at protein level
Q9BZI1,IRX2_HUMAN,Iroquois-class homeodomain protein IRX-2 (Homeodomain protein IRXA2) (Iroquois homeobox protein 2),471,"49,129",2 out of 5,2002-04-16,Evidence at protein level
P05161,ISG15_HUMAN,Ubiquitin-like protein ISG15 (Interferon-induced 15 kDa protein) (Interferon-induced 17 kDa protein) (IP17) (Ubiquitin cross-reactive protein) (hUCRP),165,"17,888",5 out of 5,1987-08-13,Evidence at protein level
Q6UWN8,ISK6_HUMAN,Serine protease inhibitor Kazal-type 6 (Kallikrein inhibitor),80,"8,585",4 out of 5,2005-02-01,Evidence at protein level
O14498,ISLR_HUMAN,Immunoglobulin superfamily containing leucine-rich repeat protein,428,"45,997",3 out of 5,2007-12-04,Evidence at transcript level
P53990,IST1_HUMAN,IST1 homolog (hIST1) (Putative MAPK-activating protein PM28),364,"39,751",5 out of 5,1996-10-01,Evidence at protein level
P17301,ITA2_HUMAN,Integrin alpha-2 (CD49 antigen-like family member B) (Collagen receptor) (Platelet membrane glycoprotein Ia) (GPIa) (VLA-2 subunit alpha) (CD antigen CD49b),1181,"129,295",5 out of 5,1990-08-01,Evidence at protein level
P23229,ITA6_HUMAN,Integrin alpha-6 (CD49 antigen-like family member F) (VLA-6) (CD antigen CD49f) [Cleaved into: Integrin alpha-6 heavy chain; Integrin alpha-6 light chain; Processed integrin alpha-6 (Alpha6p)],1130,"126,606",5 out of 5,1991-11-01,Evidence at protein level
P15884,ITF2_HUMAN,Transcription factor 4 (TCF-4) (Class B basic helix-loop-helix protein 19) (bHLHb19) (Immunoglobulin transcription factor 2) (ITF-2) (SL3-3 enhancer factor 2) (SEF-2),667,"71,308",5 out of 5,1990-04-01,Evidence at protein level
Q9NQX7,ITM2C_HUMAN,Integral membrane protein 2C (Cerebral protein 14) (Transmembrane protein BRI3) [Cleaved into: CT-BRI3],267,"30,224",5 out of 5,2001-01-24,Evidence at protein level
Q14643,ITPR1_HUMAN,"Inositol 1,4,5-trisphosphate receptor type 1 (IP3 receptor isoform 1) (IP3R 1) (InsP3R1) (Type 1 inositol 1,4,5-trisphosphate receptor) (Type 1 InsP3 receptor)",2758,"313,929",5 out of 5,2001-11-02,Evidence at protein level
Q92833,JARD2_HUMAN,Protein Jumonji (Jumonji/ARID domain-containing protein 2),1246,"138,734",5 out of 5,2001-01-11,Evidence at protein level
Q14695,K0087_HUMAN,Uncharacterized protein KIAA0087,138,"14,937",1 out of 5,1998-07-15,Evidence at transcript level
O15063,K0355_HUMAN,Uncharacterized protein KIAA0355,1070,"116,020",2 out of 5,1998-07-15,Evidence at protein level
Q6NSJ0,K1161_HUMAN,Uncharacterized family 31 glucosidase KIAA1161 (EC 3.2.1.-),714,"81,087",4 out of 5,2007-07-24,Evidence at protein level
Q9HCM1,K1551_HUMAN,Uncharacterized protein KIAA1551,1747,"194,857",3 out of 5,2007-07-24,Evidence at protein level
Q5JYT7,K1755_HUMAN,Uncharacterized protein KIAA1755,1200,"130,846",2 out of 5,2008-02-05,Evidence at transcript level
Q8N8K9,K1958_HUMAN,Uncharacterized protein KIAA1958,716,"79,212",4 out of 5,2005-08-16,Evidence at protein level
Q7Z3Y8,K1C27_HUMAN,"Keratin, type I cytoskeletal 27 (Cytokeratin-27) (CK-27) (Keratin-25C) (K25C) (Keratin-27) (K27) (Type I inner root sheath-specific keratin-K25irs3)",459,"49,822",4 out of 5,2007-12-04,Evidence at protein level
Q7Z3Y7,K1C28_HUMAN,"Keratin, type I cytoskeletal 28 (Cytokeratin-28) (CK-28) (Keratin-25D) (K25D) (Keratin-28) (K28) (Type I inner root sheath-specific keratin-K25irs4)",464,"50,567",5 out of 5,2007-12-04,Evidence at protein level
P35527,K1C9_HUMAN,"Keratin, type I cytoskeletal 9 (Cytokeratin-9) (CK-9) (Keratin-9) (K9)",623,"62,064",5 out of 5,1994-06-01,Evidence at protein level
Q5QGS0,K2022_HUMAN,Protein KIAA2022,1516,"167,551",3 out of 5,2006-10-31,Evidence at transcript level
P02538,K2C6A_HUMAN,"Keratin, type II cytoskeletal 6A (Cytokeratin-6A) (CK-6A) (Cytokeratin-6D) (CK-6D) (Keratin-6A) (K6A) (Type-II keratin Kb6) (allergen Hom s 5)",564,"60,045",5 out of 5,1986-07-21,Evidence at protein level
Q8IZA0,K319L_HUMAN,Dyslexia-associated protein KIAA0319-like protein (Adeno-associated virus receptor) (AAVR),1049,"115,658",5 out of 5,2008-04-29,Evidence at protein level
Q6NY19,KANK3_HUMAN,KN motif and ankyrin repeat domain-containing protein 3 (Ankyrin repeat domain-containing protein 47),840,"88,425",3 out of 5,2006-06-27,Evidence at protein level
Q9H9L4,KANL2_HUMAN,KAT8 regulatory NSL complex subunit 2 (NSL complex protein NSL2) (Non-specific lethal 2 homolog),492,"55,042",5 out of 5,2007-02-20,Evidence at protein level
P10644,KAP0_HUMAN,"cAMP-dependent protein kinase type I-alpha regulatory subunit (Tissue-specific extinguisher 1) (TSE1) [Cleaved into: cAMP-dependent protein kinase type I-alpha regulatory subunit, N-terminally processed]",381,"42,982",5 out of 5,1989-07-01,Evidence at protein level
P22694,KAPCB_HUMAN,cAMP-dependent protein kinase catalytic subunit beta (PKA C-beta) (EC 2.7.11.11),351,"40,623",5 out of 5,1991-08-01,Evidence at protein level
Q96I82,KAZD1_HUMAN,Kazal-type serine protease inhibitor domain-containing protein 1,304,"32,945",4 out of 5,2005-07-05,Evidence at protein level
Q86Y91,KI18B_HUMAN,Kinesin-like protein KIF18B,864,"94,223",5 out of 5,2008-02-26,Evidence at protein level
Q9UJP4,KLH21_HUMAN,Kelch-like protein 21,597,"66,617",5 out of 5,2001-06-01,Evidence at protein level
Q8N4N3,KLH36_HUMAN,Kelch-like protein 36,616,"69,896",3 out of 5,2007-02-06,Evidence at protein level
Q96E93,KLRG1_HUMAN,Killer cell lectin-like receptor subfamily G member 1 (C-type lectin domain family 15 member A) (ITIM-containing receptor MAFA-L) (MAFA-like receptor) (Mast cell function-associated antigen),195,"21,831",5 out of 5,2008-04-29,Evidence at protein level
Q86Y97,KMT5C_HUMAN,Histone-lysine N-methyltransferase KMT5C (EC 2.1.1.43) (Lysine N-methyltransferase 5C) (Lysine-specific methyltransferase 5C) (Suppressor of variegation 4-20 homolog 2) (Su(var)4-20 homolog 2) (Suv4-20h2),462,"52,113",5 out of 5,2007-04-03,Evidence at protein level
Q8NG31,KNL1_HUMAN,Kinetochore scaffold 1 (ALL1-fused gene from chromosome 15q14 protein) (AF15q14) (Bub-linking kinetochore protein) (Blinkin) (Cancer susceptibility candidate gene 5 protein) (Cancer/testis antigen 29) (CT29) (Kinetochore-null protein 1) (Protein CASC5) (Protein D40/AF15q14),2342,"265,391",5 out of 5,2005-05-24,Evidence at protein level
Q15139,KPCD1_HUMAN,Serine/threonine-protein kinase D1 (EC 2.7.11.13) (Protein kinase C mu type) (Protein kinase D) (nPKC-D1) (nPKC-mu),912,"101,704",5 out of 5,1997-11-01,Evidence at protein level
P05129,KPCG_HUMAN,Protein kinase C gamma type (PKC-gamma) (EC 2.7.11.13),697,"78,448",5 out of 5,1987-08-13,Evidence at protein level
O60256,KPRB_HUMAN,Phosphoribosyl pyrophosphate synthase-associated protein 2 (PRPP synthase-associated protein 2) (41 kDa phosphoribosypyrophosphate synthetase-associated protein) (PAP41),369,"40,926",5 out of 5,2002-10-25,Evidence at protein level
P14618,KPYM_HUMAN,Pyruvate kinase PKM (EC 2.7.1.40) (Cytosolic thyroid hormone-binding protein) (CTHBP) (Opa-interacting protein 3) (OIP-3) (Pyruvate kinase 2/3) (Pyruvate kinase muscle isozyme) (Thyroid hormone-binding protein 1) (THBP1) (Tumor M2-PK) (p58),531,"57,937",5 out of 5,1990-04-01,Evidence at protein level
P60331,KR101_HUMAN,Keratin-associated protein 10-1 (High sulfur keratin-associated protein 10.1) (Keratin-associated protein 10.1) (Keratin-associated protein 18-1) (Keratin-associated protein 18.1),282,"28,660",5 out of 5,2004-02-02,Evidence at transcript level
P60372,KR104_HUMAN,Keratin-associated protein 10-4 (High sulfur keratin-associated protein 10.4) (Keratin-associated protein 10.4) (Keratin-associated protein 18-4) (Keratin-associated protein 18.4),401,"40,429",5 out of 5,2004-02-16,Evidence at protein level
Q3LI72,KR195_HUMAN,Keratin-associated protein 19-5,72,"7,624",4 out of 5,2006-02-21,Evidence at protein level
A1A580,KR231_HUMAN,Keratin-associated protein 23-1,65,"6,892",3 out of 5,2007-06-12,Evidence at protein level
Q6PEX3,KR261_HUMAN,Keratin-associated protein 26-1,210,"22,554",5 out of 5,2006-02-21,Evidence at protein level
Q9BQ66,KR412_HUMAN,Keratin-associated protein 4-12 (Keratin-associated protein 4.12) (Ultrahigh sulfur keratin-associated protein 4.12),201,"21,407",5 out of 5,2003-10-31,Evidence at protein level
Q9BYU5,KRA21_HUMAN,Keratin-associated protein 2-1 (High sulfur keratin-associated protein 2.1) (Keratin-associated protein 2.1),128,"13,514",3 out of 5,2008-04-29,Evidence at transcript level
Q9BYR7,KRA32_HUMAN,Keratin-associated protein 3-2 (High sulfur keratin-associated protein 3.2) (Keratin-associated protein 3.2),98,"10,407",5 out of 5,2003-10-10,Evidence at protein level
Q9BYR6,KRA33_HUMAN,Keratin-associated protein 3-3 (High sulfur keratin-associated protein 3.3) (Keratin-associated protein 3.3),98,"10,365",4 out of 5,2003-10-10,Evidence at protein level
Q9BYQ7,KRA41_HUMAN,Keratin-associated protein 4-1 (Keratin-associated protein 4-10) (Keratin-associated protein 4.1) (Keratin-associated protein 4.10) (Ultrahigh sulfur keratin-associated protein 4.10),146,"15,241",5 out of 5,2003-10-31,Evidence at transcript level
Q9BYR3,KRA44_HUMAN,Keratin-associated protein 4-4 (Keratin-associated protein 4-13) (Keratin-associated protein 4.13) (Keratin-associated protein 4.4) (Ultrahigh sulfur keratin-associated protein 4.13) (Ultrahigh sulfur keratin-associated protein 4.4),166,"18,023",5 out of 5,2003-10-24,Evidence at protein level
Q9BYQ9,KRA48_HUMAN,Keratin-associated protein 4-8 (Keratin-associated protein 4.8) (Ultrahigh sulfur keratin-associated protein 4.8),185,"19,627",5 out of 5,2003-10-31,Evidence at transcript level
Q6L8G8,KRA57_HUMAN,Keratin-associated protein 5-7 (Keratin-associated protein 5-3) (Keratin-associated protein 5.3) (Keratin-associated protein 5.7) (Ultrahigh sulfur keratin-associated protein 5.7),165,"15,150",4 out of 5,2004-12-21,Evidence at transcript level
Q3LI67,KRA63_HUMAN,Keratin-associated protein 6-3,103,"10,409",3 out of 5,2006-02-21,Inferred from homology
Q8IUC3,KRA71_HUMAN,Keratin-associated protein 7-1 (High tyrosine-glycine keratin-associated protein 7.1),87,"9,288",3 out of 5,2003-07-19,Evidence at transcript level
A8MXZ3,KRA91_HUMAN,Keratin-associated protein 9-1,250,"26,333",3 out of 5,2008-04-29,Inferred from homology
Q107X0,KRIP1_HUMAN,Putative protein KRIP1 (Kallikrein-related in prostate protein 1) (Kallikrein-related mRNA protein) (KARMA),134,"14,401",3 out of 5,2008-06-10,Uncertain
O43790,KRT86_HUMAN,"Keratin, type II cuticular Hb6 (Hair keratin K2.11) (Keratin-86) (K86) (Type II hair keratin Hb6) (Type-II keratin Kb26)",486,"53,501",5 out of 5,2004-03-29,Evidence at protein level
Q9UBS0,KS6B2_HUMAN,Ribosomal protein S6 kinase beta-2 (S6K-beta-2) (S6K2) (EC 2.7.11.1) (70 kDa ribosomal protein S6 kinase 2) (P70S6K2) (p70-S6K 2) (S6 kinase-related kinase) (SRK) (Serine/threonine-protein kinase 14B) (p70 ribosomal S6 kinase beta) (S6K-beta) (p70 S6 kinase beta) (p70 S6K-beta) (p70 S6KB) (p70-beta),482,"53,455",5 out of 5,2000-12-01,Evidence at protein level
O76009,KT33A_HUMAN,"Keratin, type I cuticular Ha3-I (Hair keratin, type I Ha3-I) (Keratin-33A) (K33A)",404,"45,940",4 out of 5,2000-05-30,Evidence at transcript level
Q15652,JHD2C_HUMAN,Probable JmjC domain-containing histone demethylation protein 2C (EC 1.14.11.-) (Jumonji domain-containing protein 1C) (Thyroid receptor-interacting protein 8) (TR-interacting protein 8) (TRIP-8),2540,"284,525",5 out of 5,1997-11-01,Evidence at protein level
Q5VZ66,JKIP3_HUMAN,Janus kinase and microtubule-interacting protein 3 (Neuroendocrine long coiled-coil protein 2),844,"98,529",3 out of 5,2008-03-18,Evidence at transcript level
Q7Z7F0,K0907_HUMAN,UPF0469 protein KIAA0907,614,"64,845",3 out of 5,2007-07-24,Evidence at protein level
P59773,K102L_HUMAN,UPF0258 protein KIAA1024-like,190,"21,573",2 out of 5,2003-07-11,Inferred from homology
Q9ULL0,K1210_HUMAN,Uncharacterized protein KIAA1210,1709,"187,021",2 out of 5,2005-09-27,Evidence at transcript level
Q86T90,K1328_HUMAN,Protein hinderin,577,"65,373",3 out of 5,2007-12-04,Evidence at protein level
Q9P260,K1468_HUMAN,LisH domain and HEAT repeat-containing protein KIAA1468,1216,"134,630",2 out of 5,2008-01-15,Evidence at protein level
Q9BY89,K1671_HUMAN,Uncharacterized protein KIAA1671,1806,"196,711",2 out of 5,2007-05-15,Evidence at protein level
P08729,K2C7_HUMAN,"Keratin, type II cytoskeletal 7 (Cytokeratin-7) (CK-7) (Keratin-7) (K7) (Sarcolectin) (Type-II keratin Kb7)",469,"51,386",5 out of 5,1988-08-01,Evidence at protein level
P23352,KALM_HUMAN,Anosmin-1 (Adhesion molecule-like X-linked) (Kallmann syndrome protein),680,"76,112",5 out of 5,1991-11-01,Evidence at protein level
Q5T7N3,KANK4_HUMAN,KN motif and ankyrin repeat domain-containing protein 4 (Ankyrin repeat domain-containing protein 38),995,"107,342",4 out of 5,2006-06-27,Evidence at transcript level
P17612,KAPCA_HUMAN,cAMP-dependent protein kinase catalytic subunit alpha (PKA C-alpha) (EC 2.7.11.11),351,"40,590",5 out of 5,1990-08-01,Evidence at protein level
P22612,KAPCG_HUMAN,cAMP-dependent protein kinase catalytic subunit gamma (PKA C-gamma) (EC 2.7.11.11),351,"40,434",5 out of 5,1991-08-01,Evidence at protein level
Q16773,KAT1_HUMAN,Kynurenine--oxoglutarate transaminase 1 (EC 2.6.1.7) (Cysteine-S-conjugate beta-lyase) (EC 4.4.1.13) (Glutamine transaminase K) (GTK) (Glutamine--phenylpyruvate transaminase) (EC 2.6.1.64) (Kynurenine aminotransferase 1) (Kynurenine aminotransferase I) (KATI) (Kynurenine--oxoglutarate transaminase I),422,"47,875",5 out of 5,2004-04-13,Evidence at protein level
Q92830,KAT2A_HUMAN,Histone acetyltransferase KAT2A (EC 2.3.1.48) (General control of amino acid synthesis protein 5-like 2) (Histone acetyltransferase GCN5) (HsGCN5) (Lysine acetyltransferase 2A) (STAF97),837,"93,926",5 out of 5,2001-04-27,Evidence at protein level
Q92993,KAT5_HUMAN,Histone acetyltransferase KAT5 (EC 2.3.1.48) (60 kDa Tat-interactive protein) (Tip60) (Histone acetyltransferase HTATIP) (HIV-1 Tat interactive protein) (Lysine acetyltransferase 5) (cPLA(2)-interacting protein),513,"58,582",5 out of 5,1998-07-15,Evidence at protein level
Q16322,KCA10_HUMAN,Potassium voltage-gated channel subfamily A member 10 (Voltage-gated potassium channel subunit Kv1.8),511,"57,785",5 out of 5,2007-10-23,Evidence at protein level
Q14722,KCAB1_HUMAN,Voltage-gated potassium channel subunit beta-1 (EC 1.1.1.-) (K(+) channel subunit beta-1) (Kv-beta-1),419,"46,563",5 out of 5,2001-10-18,Evidence at protein level
Q8IU85,KCC1D_HUMAN,Calcium/calmodulin-dependent protein kinase type 1D (EC 2.7.11.17) (CaM kinase I delta) (CaM kinase ID) (CaM-KI delta) (CaMKI delta) (CaMKID) (CaMKI-like protein kinase) (CKLiK),385,"42,914",5 out of 5,2004-12-07,Evidence at protein level
Q9BQ13,KCD14_HUMAN,BTB/POZ domain-containing protein KCTD14,255,"29,591",2 out of 5,2004-07-19,Evidence at protein level
Q6PIL6,KCIP4_HUMAN,Kv channel-interacting protein 4 (KChIP4) (A-type potassium channel modulatory protein 4) (Calsenilin-like protein) (Potassium channel-interacting protein 4),250,"28,729",5 out of 5,2005-08-16,Evidence at protein level
O60928,KCJ13_HUMAN,"Inward rectifier potassium channel 13 (Inward rectifier K(+) channel Kir7.1) (Potassium channel, inwardly rectifying subfamily J member 13)",360,"40,530",5 out of 5,2001-04-27,Evidence at protein level
Q14003,KCNC3_HUMAN,Potassium voltage-gated channel subfamily C member 3 (KSHIIID) (Voltage-gated potassium channel subunit Kv3.3),757,"80,578",5 out of 5,1998-07-15,Evidence at protein level
